"gender","age","country","education","undergraduate_major","job_role","industry","years_experience","ML_atwork","Activities_Analyze.and.understand.data.to.influence.product.or.business.decisions","Activities_Build.and.or.run.a.machine.learning.service.that.operationally.improves.my.product.or.workflows","Activities_Build.and.or.run.the.data.infrastructure.that.my.business.uses.for.storing..analyzing..and.operationalizing.data","Activities_Build.prototypes.to.explore.applying.machine.learning.to.new.areas","Activities_Do.research.that.advances.the.state.of.the.art.of.machine.learning","Activities_None.of.these.activities.are.an.important.part.of.my.role.at.work","Notebooks_Kaggle.Kernels","Notebooks_Google.Colab","Notebooks_Azure.Notebook","Notebooks_Google.Cloud.Datalab","Notebooks_JupyterHub.Binder","Notebooks_None","cloud_Google.Cloud.Platform..GCP.","cloud_Amazon.Web.Services..AWS.","cloud_Microsoft.Azure","cloud_IBM.Cloud","cloud_Alibaba.Cloud","cloud_I.have.not.used.any.cloud.providers","Programming_Python","Programming_R","Programming_SQL","Programming_Bash","Programming_Java","Programming_Javascript.Typescript","Programming_Visual.Basic.VBA","Programming_C.C..","Programming_MATLAB","Programming_Scala","Programming_Julia","Programming_SAS.STATA","Programming_language_used_most_often","ML_framework_Scikit.Learn","ML_framework_TensorFlow","ML_framework_Keras","ML_framework_PyTorch","ML_framework_Spark.MLlib","ML_framework_H20","ML_framework_Caret","ML_framework_Xgboost","ML_framework_randomForest","ML_framework_None","Visualization_ggplot2","Visualization_Matplotlib","Visualization_Altair","Visualization_Shiny","Visualization_Plotly","Visualization_None","percent_actively.coding","How.long.have.you.been.writing.code.to.analyze.data.","For.how.many.years.have.you.used.machine.learning.methods..at.work.or.in.school..","Do.you.consider.yourself.to.be.a.data.scientist.","data_Categorical.Data","data_Genetic.Data","data_Geospatial.Data","data_Image.Data","data_Numerical.Data","data_Sensor.Data","data_Tabular.Data","data_text.Data","data_Time.Series.Data","data_Video.Data","explainability.model_Examine.individual.model.coefficients","explainability.model_examine.feature.correlations","explainability.model_Examine.feature.importances","explainability.model_Create.partial.dependence.plots","explainability.model_LIME.functions","explainability.model_SHAP.functions","explainability.model_None.I.do.not.use.these.model.explanation.techniques","wage","outlier_flag","disporve_outlier_flag"
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","Academics/Education","3-4","We use ML methods for generating insights (but do not put working models into production)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"Python",1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,"1% to 25% of my time","1-2 years","2-3 years","Definitely yes",1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Master’s degree","Computer science (software engineering, etc.)","Data Scientist","I am a student","0-1","We recently started using ML methods (i.e., models in production for less than 2 years)",0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,"Python",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"1% to 25% of my time","1-2 years","1-2 years","Probably yes",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5586.83287445456,FALSE,TRUE
"Male","18-21","India","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","Academics/Education","2-3","We recently started using ML methods (i.e., models in production for less than 2 years)",1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,"Python",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"25% to 49% of my time","< 1 year","< 1 year","Probably yes",1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,3876.74704380333,FALSE,FALSE
"Male","18-21","India","Master’s degree","Other","Student","I am a student","0-1","No (we do not use ML methods)",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,"Python",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"1% to 25% of my time","1-2 years","< 1 year","Probably not",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"Female","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1","I do not know",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"Python",1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"25% to 49% of my time","1-2 years","1-2 years","Maybe",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","Academics/Education","2-3","We have well established ML methods (i.e., models in production for more than 2 years)",1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,"Python",1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,"75% to 99% of my time","1-2 years","1-2 years","Definitely yes",1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,3869.18961070478,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)",0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,"Python",1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,"50% to 74% of my time","< 1 year","1-2 years","Probably yes",1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,6856.44403286278,FALSE,TRUE
"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","11-15","I do not know",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,"Python",1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,"1% to 25% of my time","1-2 years","1-2 years","Maybe",1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,4162.63982653618,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1","No (we do not use ML methods)",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"Python",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"25% to 49% of my time","< 1 year","I have never studied machine learning but plan to learn in the future","Definitely not",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5170.5154851079,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Data Scientist","I am a student","0-1","We use ML methods for generating insights (but do not put working models into production)",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"Python",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"75% to 99% of my time","< 1 year","1-2 years","Definitely yes",0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","I do not know",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"Python",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"25% to 49% of my time","1-2 years","1-2 years","Definitely not",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","Academics/Education","1-2","We are exploring ML methods (and may one day put a model into production)",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"Python",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"1% to 25% of my time","< 1 year","< 1 year","Probably yes",0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,4195.44982071966,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Information technology, networking, or system administration","Student","I am a student","0-1","I do not know",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,"Python",1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,"25% to 49% of my time","< 1 year","< 1 year","Definitely not",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5345.5514786765,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Data Scientist","Accounting/Finance","0-1","We use ML methods for generating insights (but do not put working models into production)",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,"R",0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,"0% of my time","< 1 year","< 1 year","Definitely yes",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3351.02090705186,FALSE,FALSE
"Male","18-21","China","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","3-4","I do not know",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,"Python",1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"25% to 49% of my time","1-2 years","< 1 year","Probably yes",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4857.39851463586,FALSE,FALSE
"Male","18-21","China","Some college/university study without earning a bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","1-2","I do not know",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"Python",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"25% to 49% of my time","< 1 year","< 1 year","Maybe",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE
"Female","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","1-2","No (we do not use ML methods)",0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,"Python",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"25% to 49% of my time","< 1 year","< 1 year","Probably not",0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","11-15","I do not know",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,"Python",1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,"75% to 99% of my time","< 1 year","< 1 year","Probably not",0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","I do not know",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"Python",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"25% to 49% of my time","I have never written code but I want to learn","< 1 year","Probably not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3387.42881361395,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Data Scientist","Medical/Pharmaceutical","0-1","We recently started using ML methods (i.e., models in production for less than 2 years)",1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"Python",1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,"25% to 49% of my time","3-5 years","1-2 years","Probably yes",1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,FALSE,TRUE
"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Business Analyst","Computers/Technology","0-1","No (we do not use ML methods)",0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,"Python",1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,"50% to 74% of my time","< 1 year","< 1 year","Definitely yes",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Software Engineer","Accounting/Finance","0-1","We are exploring ML methods (and may one day put a model into production)",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"Java",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"1% to 25% of my time","I have never written code but I want to learn","I have never studied machine learning but plan to learn in the future","Definitely not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14652.7544977143,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","I do not know",1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"Python",1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,"25% to 49% of my time","1-2 years","1-2 years","Probably not",0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,6603.16295921803,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","No (we do not use ML methods)",0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"Python",1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"75% to 99% of my time","< 1 year","< 1 year","Probably yes",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4824.01035446674,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Software Engineer","Computers/Technology","0-1","We recently started using ML methods (i.e., models in production for less than 2 years)",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,"Python",1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,"50% to 74% of my time","< 1 year","1-2 years","Maybe",1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,5507.3737539351,FALSE,TRUE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","Academics/Education","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"C/C++",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"25% to 49% of my time","< 1 year","< 1 year","Probably yes",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6263.73918540776,FALSE,TRUE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","Computers/Technology","0-1","We have well established ML methods (i.e., models in production for more than 2 years)",1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Python",1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,"75% to 99% of my time","< 1 year","1-2 years","Definitely yes",0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,25316.2269005552,FALSE,TRUE
"Male","18-21","India","Master’s degree","Computer science (software engineering, etc.)","Student","Academics/Education","0-1","We use ML methods for generating insights (but do not put working models into production)",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,"R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"25% to 49% of my time","< 1 year","1-2 years","Probably yes",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","I do not know",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"Python",1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,"75% to 99% of my time","< 1 year","< 1 year","Probably yes",1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,3739.64360170066,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","3-4","I do not know",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,"R",1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,"75% to 99% of my time","1-2 years","1-2 years","Maybe",1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","I do not know",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"Python",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1% to 25% of my time","< 1 year","< 1 year","Probably not",0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,3390.4257370159,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1","We use ML methods for generating insights (but do not put working models into production)",0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"R",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"1% to 25% of my time","1-2 years","< 1 year","Maybe",1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,5398.44350796193,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","We are exploring ML methods (and may one day put a model into production)",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"C/C++",1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,"25% to 49% of my time","1-2 years","1-2 years","Maybe",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","We are exploring ML methods (and may one day put a model into production)",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Python",1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,"1% to 25% of my time","< 1 year","< 1 year","Maybe",1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,5257.61432480067,FALSE,FALSE
"Female","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","I do not know",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,"C/C++",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"1% to 25% of my time","< 1 year","< 1 year","Probably not",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1","No (we do not use ML methods)",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"Python",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"1% to 25% of my time","I have never written code but I want to learn","I have never studied machine learning but plan to learn in the future","Probably not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5524.95907898992,FALSE,FALSE
"Male","18-21","India","Bachelor’s degree","Computer science (software engineering, etc.)","Student","I am a student","0-1","No (we do not use ML methods)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,"Python",1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,"1% to 25% of my time","< 1 year","< 1 year","Probably not",1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,3872.6505767554,FALSE,FALSE
